kind	class	method	param	index	uri	field
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	setScheme(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	scheme
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	setServerName(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	serverName
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	parseCookies()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	parsedCookies
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	reParseCookies()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	parsedCookies
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	storeInboundRequest()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	inboundRequest
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	setQueryParams(com.netflix.zuul.message.http.HttpQueryParams)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	queryParams
METHOD	com.netflix.zuul.message.util.HttpRequestBuilder	withHost(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/util/HttpRequestBuilder.java	serverName
METHOD	com.netflix.zuul.message.util.HttpRequestBuilder	withHeaders(com.netflix.zuul.message.Headers)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/util/HttpRequestBuilder.java	headers
METHOD	com.netflix.zuul.message.util.HttpRequestBuilder	withQueryParams(com.netflix.zuul.message.http.HttpQueryParams)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/util/HttpRequestBuilder.java	queryParams
METHOD	com.netflix.zuul.message.util.HttpRequestBuilder	withMethod(io.netty.handler.codec.http.HttpMethod)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/util/HttpRequestBuilder.java	method
METHOD	com.netflix.zuul.message.util.HttpRequestBuilder	withUri(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/util/HttpRequestBuilder.java	path
METHOD	com.netflix.zuul.stats.monitoring.MonitorRegistry	setPublisher(com.netflix.zuul.stats.monitoring.Monitor)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/stats/monitoring/MonitorRegistry.java	publisher
METHOD	com.netflix.zuul.FilterFileManager	startPoller()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/FilterFileManager.java	poller
METHOD	com.netflix.zuul.netty.connectionpool.DefaultClientChannelManager	init()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/DefaultClientChannelManager.java	channelInitializer
METHOD	com.netflix.zuul.netty.connectionpool.DefaultClientChannelManager	init()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/DefaultClientChannelManager.java	clientConnFactory
METHOD	com.netflix.zuul.netty.server.push.PushConnection	setSecureToken(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/push/PushConnection.java	secureToken
METHOD	com.netflix.zuul.netty.server.push.PushRegistrationHandler	userEventTriggered(io.netty.channel.ChannelHandlerContext,java.lang.Object)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/push/PushRegistrationHandler.java	ctx
METHOD	com.netflix.zuul.netty.server.BaseServerStartup	init()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseServerStartup.java	clientConnectionsShutdown
METHOD	com.netflix.zuul.netty.server.BaseServerStartup	init()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseServerStartup.java	addrsToChannelInitializers
METHOD	com.netflix.zuul.netty.server.BaseServerStartup	init()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseServerStartup.java	server
METHOD	com.netflix.zuul.netty.server.Server	start()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	serverGroup
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	channelType
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	clientToProxyBossPool
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	clientToProxyWorkerPool
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	channelType
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	clientToProxyBossPool
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	clientToProxyWorkerPool
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	channelType
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	clientToProxyBossPool
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	clientToProxyWorkerPool
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	channelType
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	clientToProxyBossPool
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	clientToProxyWorkerPool
METHOD	com.netflix.zuul.netty.server.Server$ServerGroup	initializeTransport()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java	transportChannelOptions
METHOD	com.netflix.zuul.plugins.Tracer$SpectatorTracer	setName(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/plugins/Tracer.java	name
